zpid,price,priceLabel,beds,baths,area,lotAreaString,statusType,statusText,isFavorite,isUserClaimingOwner,isUserConfirmedClaim,imgSrc,hasImage,visited,listingType,shouldShowZestimateAsPrice,detailUrl,pgapt,sgapt,has3DModel,hasVideo,isHomeRec,address,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,availabilityDate,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,streetViewMetadataURL,streetViewURL,hdpData.homeInfo.zestimate,buildingId,lotId,minBeds,minBaths,minArea,unitCount,isBuilding,badgeInfo,canSaveBuilding,timeOnZillow,hdpData.homeInfo.listing_sub_type.is_FSBA,LOT_ACREAGE
11242785,55000.0,$55K,3.0,0.0,2181.0,1.84 acres,SOLD,Sold,False,False,False,https://photos.zillowstatic.com/fp/7643aabda100634c5b4546c892e10189-p_e.jpg,True,False,,False,/homedetails/110-Crystal-Springs-Dr-Lexington-SC-29073/11242785_zpid/,RecentlySold,Unknown Listed By,False,False,False,"110 Crystal Springs Dr, Lexington, SC 29073",False,False,False,,33.845318,-81.21563,RECENTLY_SOLD,Sold 07/06/2023,11242785.0,110 Crystal Springs Dr,29073,Lexington,SC,33.845318,-81.21563,55000.0,1688626800000.0,0.0,3.0,2181.0,LOT,RECENTLY_SOLD,-1.0,False,False,1895.0,False,False,RECENTLY_SOLD,55000.0,True,False,False,USD,USA,30000.0,1.8399908172635446,acres,False,,,,,,,,,,,,,,,1.84
248605170,75000.0,$75K,,0.0,,1 acres,SOLD,Sold,False,False,False,https://photos.zillowstatic.com/fp/c843f3dbc9fe14b21ec3d5a63bfe5dcf-p_e.jpg,True,False,,False,/homedetails/481-Peachland-Dr-Gilbert-SC-29054/248605170_zpid/,RecentlySold,Unknown Listed By,False,False,False,"481 Peachland Dr, Gilbert, SC 29054",False,False,False,,34.006706,-81.38046,RECENTLY_SOLD,Sold 06/09/2023,248605170.0,481 Peachland Dr,29054,Gilbert,SC,34.006706,-81.38046,75000.0,1686294000000.0,0.0,,,LOT,RECENTLY_SOLD,-1.0,False,False,1943.0,False,False,RECENTLY_SOLD,75000.0,True,False,False,USD,USA,22500.0,1.0,acres,False,,,,,,,,,,,,,,,1.0
11242366,268000.0,$268K,0.0,0.0,1614.0,4.35 acres,SOLD,Sold,False,False,False,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=33.84261703491211,-81.27481842041016&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=oNfRQ5dXImnusPEUnUMxdzGDcb0=",,False,,False,/homedetails/933-Founders-Rd-Lexington-SC-29073/11242366_zpid/,RecentlySold,Unknown Listed By,False,False,False,"933 Founders Rd, Lexington, SC 29073",False,False,False,,33.842617,-81.27482,RECENTLY_SOLD,Sold 06/02/2023,11242366.0,933 Founders Rd,29073,Lexington,SC,33.842617,-81.27482,268000.0,1685689200000.0,0.0,0.0,1614.0,LOT,RECENTLY_SOLD,-1.0,False,False,1710.0,False,False,RECENTLY_SOLD,268000.0,True,False,False,USD,USA,146646.0,4.35,acres,False,"https://maps.googleapis.com/maps/api/streetview/metadata?location=33.84261703491211,-81.27481842041016&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=zUNGBDEBPk_0FdZQpoPN3GjlhwY=","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=33.84261703491211,-81.27481842041016&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=IuyHVmCn7DRBIIGM5SS8yCpA3IY=",270700.0,,,,,,,,,,,,4.35
144697813,399000.0,$399K,,,,1.89 acres,SOLD,Sold,False,False,False,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.05548095703125,-81.35678100585938&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=IAiAtxEbqQDj4YrlJOvB84eKWI0=",,False,,False,/homedetails/3-Williams-Dr-Gilbert-SC-29054/144697813_zpid/,RecentlySold,Unknown Listed By,False,False,False,"3 Williams Dr, Gilbert, SC 29054",False,False,False,,34.05548,-81.35678,RECENTLY_SOLD,Sold 05/15/2023,144697813.0,3 Williams Dr,29054,Gilbert,SC,34.05548,-81.35678,399000.0,1684134000000.0,,,,LOT,RECENTLY_SOLD,-1.0,False,False,2100.0,False,False,RECENTLY_SOLD,399000.0,True,False,False,USD,USA,227000.0,1.8899908172635445,acres,False,"https://maps.googleapis.com/maps/api/streetview/metadata?location=34.05548095703125,-81.35678100585938&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=NGV08ZII9HA6FHlNLa98pDDRqP4=","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=34.05548095703125,-81.35678100585938&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=axgTaijOe0WUZ_ODWOgv6Rf7rZ8=",,,,,,,,,,,,,1.89
111159109,11500.0,$12K,0.0,0.0,,1.32 acres,SOLD,Sold,False,False,False,https://photos.zillowstatic.com/fp/819b5cb55c168ff57233be563f5f9ae1-p_e.jpg,True,False,,False,/homedetails/236-Rutherford-Rd-Lexington-SC-29073/111159109_zpid/,RecentlySold,Unknown Listed By,False,False,False,"236 Rutherford Rd, Lexington, SC 29073",False,False,False,,33.84896,-81.214455,RECENTLY_SOLD,Sold 05/08/2023,111159109.0,236 Rutherford Rd,29073,Lexington,SC,33.84896,-81.214455,11500.0,1683529200000.0,0.0,0.0,,LOT,RECENTLY_SOLD,-1.0,False,False,881.0,False,False,RECENTLY_SOLD,11500.0,True,False,False,USD,USA,15800.0,1.3199954086317722,acres,False,,,,,,,,,,,,,,,1.32
68403634,40000.0,$40K,,0.0,980.0,2.7 acres,SOLD,Sold,False,False,False,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=33.88341522216797,-81.24629974365234&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=s-XyLfe8sZk-mrlEy4B12DIEWrE=",,False,,False,/homedetails/730-Bluefield-Rd-Lexington-SC-29073/68403634_zpid/,RecentlySold,Unknown Listed By,False,False,False,"730 Bluefield Rd, Lexington, SC 29073",False,False,False,,33.883415,-81.2463,RECENTLY_SOLD,Sold 04/21/2023,68403634.0,730 Bluefield Rd,29073,Lexington,SC,33.883415,-81.2463,40000.0,1682060400000.0,0.0,,980.0,LOT,RECENTLY_SOLD,-1.0,False,False,452.0,False,False,RECENTLY_SOLD,40000.0,True,False,False,USD,USA,38500.0,2.7,acres,False,"https://maps.googleapis.com/maps/api/streetview/metadata?location=33.88341522216797,-81.24629974365234&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=PnmbBOT5bYDWjP2asMrV6HBpVik=","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=33.88341522216797,-81.24629974365234&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=amq63dDXkYvaPA2wDWDG3ApGrqk=",69400.0,,,,,,,,,,,,2.7
,,,,,,,SOLD,For Rent,False,,,https://photos.zillowstatic.com/fp/0bae7c4504812c28b29bf5363996ec4e-p_e.jpg,True,,,,"/b/Lexington-SC/33.825893,-81.24676_ll/",,,False,,False,"699 Crystal Springs Dr, Lexington, SC",False,False,False,,33.825893,-81.24676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.825893--81.24676,,0.0,0.0,,2.0,True,,False,8042461630.0,,
144770955,250000.0,$250K,3.0,0.0,1634.0,4.02 acres,SOLD,Sold,False,False,False,https://photos.zillowstatic.com/fp/3fcb77ec589762323641f8734e7b46eb-p_e.jpg,True,False,,False,/homedetails/5119-Backman-Ave-Lexington-SC-29073/144770955_zpid/,RecentlySold,Unknown Listed By,False,False,False,"5119 Backman Ave, Lexington, SC 29073",False,False,False,,33.908916,-81.199295,RECENTLY_SOLD,Sold 03/28/2023,144770955.0,5119 Backman Ave,29073,Lexington,SC,33.908916,-81.199295,250000.0,1679986800000.0,0.0,3.0,1634.0,LOT,RECENTLY_SOLD,-1.0,False,False,1710.0,False,False,RECENTLY_SOLD,250000.0,True,False,False,USD,USA,111005.0,4.019995408631773,acres,False,,,,,,,,,,,,,,,4.02
144705741,150000.0,$150K,,,,1.84 acres,SOLD,Sold,False,False,False,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.03060531616211,-81.4237289428711&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=2AgkYuJQnIz7OonnnaamiAmCrCo=",,False,,False,/homedetails/Art-Leicht-Ct-Gilbert-SC-29054/144705741_zpid/,RecentlySold,Unknown Listed By,False,False,False,"Art Leicht Ct, Gilbert, SC 29054",False,False,False,,34.030605,-81.42373,RECENTLY_SOLD,Sold 03/20/2023,144705741.0,Art Leicht Ct,29054,Gilbert,SC,34.030605,-81.42373,150000.0,1679295600000.0,,,,LOT,RECENTLY_SOLD,-1.0,False,False,1900.0,False,False,RECENTLY_SOLD,150000.0,True,False,False,USD,USA,28500.0,1.8365472910927456,acres,False,"https://maps.googleapis.com/maps/api/streetview/metadata?location=34.03060531616211,-81.4237289428711&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=34bAaqgQlxz44TcESwRi6IQMUsA=","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=34.03060531616211,-81.4237289428711&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=XjBgauH9zqrbR12dEX8Ko_kfdtI=",,,,,,,,,,,,,1.84
55341890,46500.0,$47K,0.0,0.0,,1.31 acres,SOLD,Sold,False,False,False,https://photos.zillowstatic.com/fp/d8cb81839b6291e08268c40443641bc5-p_e.jpg,True,False,,False,/homedetails/385-Whiteplains-Pl-Gilbert-SC-29054/55341890_zpid/,RecentlySold,Unknown Listed By,False,False,False,"385 Whiteplains Pl, Gilbert, SC 29054",False,False,False,,33.964447,-81.360275,RECENTLY_SOLD,Sold 03/17/2023,55341890.0,385 Whiteplains Pl,29054,Gilbert,SC,33.964447,-81.360275,46500.0,1679036400000.0,0.0,0.0,,LOT,RECENTLY_SOLD,-1.0,False,False,851.0,False,False,RECENTLY_SOLD,46500.0,True,False,False,USD,USA,39000.0,1.3099862258953168,acres,False,,,,,,,,,,,,,,,1.31
